"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960524534601408607","Wed Aug 27 02:07:28 +0000 2025","0","Mantul! Literasi digital membuat semua pengguna lebih cerdas dan percaya diri. Kita Nyaman Karena Aman https://t.co/f2ztTph3cC","1960524534601408607","","","in","","0","0","0","https://x.com/undefined/status/1960524534601408607","1923549910533799936",
"1960523960384413884","Wed Aug 27 02:05:11 +0000 2025","0","Sering gak sih merasa gak nyambung saat ngobrol dgn anak? Hal ini bisa saja terjadi karena adanya gap literasi digital antara orang tua &amp; anak. Ini saatnya untuk memahami teknologi dasar dan bangun bonding dengan anak Parents! #LiterasiDigital #DiskominfoKotaBogor https://t.co/AgzNOTWj7R","1960523960384413884","https://pbs.twimg.com/media/GzUuJJaa4AMj33g.jpg","","in","","0","0","0","https://x.com/undefined/status/1960523960384413884","2479106588",
"1960523271306404041","Wed Aug 27 02:02:27 +0000 2025","0","Hore! Literasi digital meningkat masyarakat makin cerdas. Kita Nyaman Karena Aman https://t.co/LG9O2f6xlb","1960523271306404041","","","in","","0","0","0","https://x.com/undefined/status/1960523271306404041","1908913654717956096",
"1960523257670689157","Wed Aug 27 02:02:24 +0000 2025","0","Hore! Literasi digital makin maju semua makin paham dunia maya. Kita Nyaman Karena Aman https://t.co/ZUoi501t9i","1960523257670689157","","","in","","0","0","0","https://x.com/undefined/status/1960523257670689157","1924050331203489792",
"1960523235591897117","Wed Aug 27 02:02:18 +0000 2025","0","Hore! Literasi digital makin maju masyarakat makin cerdas. Kita Nyaman Karena Aman https://t.co/utnz9TqErP","1960523235591897117","","","in","","0","0","0","https://x.com/undefined/status/1960523235591897117","1908585849878700033",
"1960522610393145383","Wed Aug 27 01:59:49 +0000 2025","0","Asyik! Literasi digital jadi prioritas masyarakat makin cerdas. Kita Nyaman Karena Aman https://t.co/xCHyAiPOYN","1960522610393145383","","","in","","0","0","0","https://x.com/undefined/status/1960522610393145383","584201817",
"1960522443812167682","Wed Aug 27 01:59:10 +0000 2025","0","Asyik banget! Literasi digital makin digemari semua jadi lebih paham teknologi. Kita Nyaman Karena Aman https://t.co/abUxTKngN0","1960522443812167682","","","in","","0","0","0","https://x.com/undefined/status/1960522443812167682","1908573288407920640",
"1960522173908668748","Wed Aug 27 01:58:05 +0000 2025","0","Asik! Literasi digital makin digemari semua jadi lebih paham teknologi. Kita Nyaman Karena Aman https://t.co/bbATXWkO0y","1960522173908668748","","","in","","0","0","0","https://x.com/undefined/status/1960522173908668748","1923565606038798336",
"1960510779037475190","Wed Aug 27 01:12:48 +0000 2025","0","Rumah Literasi Digital Surabaya Dorong Jurnalis Jadi Garda Terdepan Edukasi Publik @TV9NUsantara https://t.co/v1EeYJifQr","1960510779037475190","","","in","","0","0","1","https://x.com/undefined/status/1960510779037475190","1749334907271380992",
"1960505290228699568","Wed Aug 27 00:51:00 +0000 2025","1","Disertasi Smart City Surabaya di Unair: Ian Firstian Soroti Peran OPD Dorong Integrasi Aplikasi Layanan Publik dan Literasi Digital https://t.co/6M0d3BpsYX","1960505290228699568","","","in","","0","0","0","https://x.com/undefined/status/1960505290228699568","2392460208",
"1960494787930546634","Wed Aug 27 00:09:17 +0000 2025","0","Pertanyaan yang bias akan menghasilkan jawaban yang bias.Menguasai literasi data adalah senjata terpenting di ranah digital. Tujuan kita bukan berdebat soal angka tapi memahami bagaimana informasi bisa dimanipulasi.","1960494793055977664","","gundala_sipetir","in","","0","0","0","https://x.com/undefined/status/1960494793055977664","962747430",
"1960319763856478422","Tue Aug 26 23:16:31 +0000 2025","0","@unesa_fess Aku ada literasi digital sama pancasila","1960481514531250638","","unesa_fess","in","","0","0","0","https://x.com/undefined/status/1960481514531250638","1291960057748262912",
"1960451507805151728","Tue Aug 26 21:17:17 +0000 2025","1","Sebanyak 11 program dan projek dirancang dengan tumpuan kepada Sains Teknologi Kejuruteraan dan Matematik (STEM) serta literasi digital. #AWANInews #AWANIpagi https://t.co/OLkYH4O10z","1960451507805151728","","","in","","0","1","1","https://x.com/undefined/status/1960451507805151728","497665754",
"1960371807237587240","Tue Aug 26 16:09:02 +0000 2025","0","@unesa_fess Literasi digital berapaan nder","1960373932038803784","","unesa_fess","in","","0","1","0","https://x.com/undefined/status/1960373932038803784","1462423735097434116",
"1960319763856478422","Tue Aug 26 14:14:35 +0000 2025","0","@unesa_fess aku ada buku agama islam sama literasi digital","1960345130508100067","","unesa_fess","in","","0","1","0","https://x.com/undefined/status/1960345130508100067","1384962773881266176",
"1960301601874206956","Tue Aug 26 11:22:36 +0000 2025","0","@Ingchuen Kominfo punya peran penting dalam regulasi telekomunikasi promosi literasi digital dan penanganan misinformasi di Indonesia. Contohnya mereka blokir ribuan situs judi online dan dorong transformasi digital. Tapi kritik banyak soal lambat tangani kebocoran data (kayak PDN","1960301850038841729","","Ingchuen","in","","1","0","0","https://x.com/undefined/status/1960301850038841729","1720665183188922368",
"1960295079782007185","Tue Aug 26 11:04:29 +0000 2025","0","@weegledocs padahal ini grup kelas tuweb matkul belajar di era digital tp minim literasi bngt","1960297292117709094","","weegledocs","in","","0","1","0","https://x.com/undefined/status/1960297292117709094","1569278209858076672",
